t1,t2,window_dt_requested,observations,window_calendar_days,tc_predicted,tc_days_after_t2,tc_search_upper_days_after_t2,tc_valid_upper_days_after_t2,positive_lppls_valid,RMSE,SSE,A,B,C1,C2,C,m,omega,phi,damping,optimizer_success
2004-12-21,2005-02-03,30,31,44.0,2005-02-04,1,14.666666666666664,8.8,False,0.00314762699993868,0.00030713422765303225,5.640428524478335,-0.07854926500146926,-0.0015109355509898312,-0.0016973820575397697,0.0022724506790033723,0.1,10.491218069428239,-2.2981462961090675,0.32947445265847664,True
2004-12-07,2005-02-03,40,41,58.0,2005-02-04,1,19.33333333333333,11.600000000000001,False,0.0035461642003192656,0.000515586501960665,5.589432800065206,-0.027570391595437397,-0.001133625569818934,-0.00028712897230204985,0.0011694229257554918,0.2300949069608309,12.30510455330518,-2.8935257675617194,0.4408522165759762,True
2004-11-23,2005-02-03,50,51,72.0,2005-02-04,1,24.0,14.4,False,0.0038697426275219626,0.0007637203081662898,5.573325457484301,-0.014318501382554347,0.000512309878192259,-0.0003192634694374061,0.00060364772360258,0.33242638306780514,11.032560534168507,-0.5572925730582774,0.7147154393115656,True
2004-11-09,2005-02-03,60,61,86.0,2005-02-04,1,28.666666666666657,17.2,False,0.0041953398070683524,0.0010736534419031115,5.570727897065315,-0.012226934787172296,0.00043382333876083867,0.00025087251645266825,0.0005011384127812352,0.3602366358786359,11.41437225791387,0.5242977900791573,0.7700089070171814,True
2004-10-26,2005-02-03,70,71,100.0,2005-02-04,1,33.333333333333314,20.0,False,0.005709289287368139,0.0023143148758468183,5.55071969994717,-0.0008726404458184768,-0.0001486389783461838,-3.443113350795886e-05,0.00015257473197892297,0.9,12.23411247094771,-2.9139646642117514,0.4207486809213687,True
2004-10-12,2005-02-03,80,81,114.0,2005-02-04,1,38.0,22.8,False,0.005900324732814365,0.0028199203881655336,5.551243256239074,-0.0008970372869547479,-0.00017129794623328473,-4.86799253413177e-05,0.00017808066013741517,0.9,12.238416143413648,-2.864709493685871,0.3704341624945478,True
2004-09-28,2005-02-03,90,91,128.0,2005-02-05,2,42.66666666666666,25.6,False,0.006738681248016595,0.004132294071575715,5.55313034178395,-0.000929468303653706,0.00011342115755020247,9.109827817668725e-05,0.00014547596113030135,0.9,13.0,0.6766805670754693,0.4423260388699449,True
2004-09-14,2005-02-03,100,101,142.0,2005-02-05,2,47.333333333333314,28.400000000000002,False,0.0068996531659326335,0.004808126594826585,5.553618792445143,-0.0009476514613202155,9.92727469332474e-05,7.532176609429903e-05,0.00012461318843219154,0.9,13.0,0.6490684833880727,0.5264823126290604,True
2004-08-31,2005-02-03,110,111,156.0,2005-02-04,1,52.0,31.200000000000003,False,0.006821911460160257,0.005165770832699509,5.552068723212132,-0.0009270276570622713,-0.00011625289902189419,2.1646463626080326e-05,0.00011825102924926253,0.9,12.1519244853965,2.957499402622031,0.5806109324670833,True
2004-08-17,2005-02-03,120,121,170.0,2005-02-04,1,56.66666666666666,34.0,False,0.006895092124932487,0.0057526177447680266,5.552744869984831,-0.000948207570517825,-8.519960768978491e-05,0.00010794163295421244,0.0001375149783671407,0.9,11.995932945294294,2.2389860280948164,0.5173231264010805,True
2004-08-03,2005-02-03,130,131,184.0,2005-02-04,1,61.333333333333314,36.800000000000004,False,0.007885523932095923,0.008145774886559138,5.552417369042282,-0.0009332283392735087,2.4071575169149535e-05,-0.0001410995338618603,0.00014313811228026683,0.9,12.559430797141008,-1.401823117020502,0.46720252930171396,True
2004-07-20,2005-02-03,140,141,198.0,2005-02-04,1,66.0,39.6,False,0.008165885600047695,0.009402117956262349,5.552020142228306,-0.0009173064229736165,0.00011491120344524207,9.106839864523739e-05,0.00014662209215886155,0.9,12.998829503006121,0.6701577991553935,0.4331649263423313,True
2004-07-06,2005-02-03,150,151,212.0,2005-02-05,2,70.66666666666663,42.400000000000006,False,0.008140232772193242,0.010005771827408822,5.553045168279766,-0.00106199808156221,0.00013322543491357634,0.00013643005757070438,0.0001906886916328739,0.869532117176196,13.0,0.7972817403813769,0.37251268723762265,True
2004-06-22,2005-02-03,160,161,226.0,2005-02-04,1,75.33333333333331,45.2,False,0.009535980247906091,0.014640522005441272,5.553729221433636,-0.0017855554447986043,-0.0004164356577727531,6.240260775602845e-05,0.00042108519627194,0.7615202251864134,12.186803807986493,2.992850055655304,0.26496895286421845,True
2004-06-08,2005-02-03,170,171,240.0,2005-02-04,1,80.0,48.0,False,0.010535132457135396,0.0189791217170853,5.554792799524344,-0.00255825164370997,0.0005321297938757043,0.0004295526444244289,0.0006838695722593741,0.6864733924892301,11.705394164779054,0.6791356761767929,0.2193853621193218,True
2004-05-24,2005-02-03,180,181,255.0,2005-02-04,1,85.0,51.0,False,0.010565571796856903,0.02020526663841138,5.556599261230931,-0.003266573662184331,0.0008410721586142344,-0.00018907366574491433,0.000862062194435081,0.639959744322887,11.514982685562613,-0.22112480072618193,0.21059265671624855,True
2004-05-10,2005-02-03,190,191,269.0,2005-02-04,1,89.66666666666663,53.800000000000004,False,0.010791750102016282,0.02224421722049437,5.561174110672344,-0.004911822213047891,0.0005403518387299712,-0.0010295086454319847,0.0011626986542686204,0.5680755870768374,11.333644229599306,-1.0874560879676543,0.21174444186512456,True
2004-04-26,2005-02-03,200,201,283.0,2005-03-10,35,94.33333333333331,56.6,False,0.014147254261799328,0.04022910543274785,5.576518403442557,-0.0036416646613318684,-0.00071631156964366,0.0001287689405787127,0.0007277937241163378,0.6270176420384607,6.0,2.963725738643641,0.5229018226319344,True
2004-12-28,2005-02-09,30,31,43.0,2005-02-23,14,14.333333333333329,8.6,False,0.0035545439628222523,0.0003916782662927198,5.917844360724624,-0.26563626622858116,-0.0005572985971114969,-0.004559314988212784,0.004593248838032203,0.1,6.0,-1.6924259363749699,0.9638648503324669,True
